"initial_alias","converted_alias","name","description","namespace"
"206125_S_AT","ENSG00000129455","KLK8","kallikrein related peptidase 8 [Source:HGNC Symbol;Acc:HGNC:6369]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"206125_S_AT","ENSG00000269741","None","novel transcript","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"233687_S_AT","ENSG00000129455","KLK8","kallikrein related peptidase 8 [Source:HGNC Symbol;Acc:HGNC:6369]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"233687_S_AT","ENSG00000213022","KLK9","kallikrein related peptidase 9 [Source:HGNC Symbol;Acc:HGNC:6370]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"233687_S_AT","ENSG00000269741","None","novel transcript","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"1552319_A_AT","ENSG00000129455","KLK8","kallikrein related peptidase 8 [Source:HGNC Symbol;Acc:HGNC:6369]","AFFY_HG_U133_PLUS_2"
"203021_AT","ENSG00000124107","SLPI","secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"216641_S_AT","ENSG00000159166","LAD1","ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"216641_S_AT","ENSG00000286600","None","novel transcript","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"203287_AT","ENSG00000159166","LAD1","ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"201130_S_AT","ENSG00000039068","CDH1","cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"201131_S_AT","ENSG00000039068","CDH1","cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"222242_S_AT","ENSG00000167754","KLK5","kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205064_AT","ENSG00000169469","SPRR1B","small proline rich protein 1B [Source:HGNC Symbol;Acc:HGNC:11260]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1560078_AT","ENSG00000053747","LAMA3","laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]","AFFY_HG_U133_PLUS_2"
"1563772_A_AT","ENSG00000053747","LAMA3","laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]","AFFY_HG_U133_PLUS_2"
"1568879_A_AT","ENSG00000053747","LAMA3","laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]","AFFY_HG_U133_PLUS_2"
"203726_S_AT","ENSG00000053747","LAMA3","laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"204636_AT","ENSG00000065618","COL17A1","collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"207345_AT","ENSG00000134363","FST","follistatin [Source:HGNC Symbol;Acc:HGNC:3971]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"226847_AT","ENSG00000134363","FST","follistatin [Source:HGNC Symbol;Acc:HGNC:3971]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"204948_S_AT","ENSG00000134363","FST","follistatin [Source:HGNC Symbol;Acc:HGNC:3971]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"203180_AT","ENSG00000184254","ALDH1A3","aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202037_S_AT","ENSG00000104332","SFRP1","secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202035_S_AT","ENSG00000104332","SFRP1","secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202036_S_AT","ENSG00000104332","SFRP1","secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209351_AT","ENSG00000186847","KRT14","keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"39402_AT","ENSG00000125538","IL1B","interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2,AFFY_HG_U95A,AFFY_HG_U95AV2"
"205067_AT","ENSG00000125538","IL1B","interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202488_S_AT","ENSG00000089356","FXYD3","FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202488_S_AT","ENSG00000285526","None","novel protein","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202489_S_AT","ENSG00000089356","FXYD3","FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202489_S_AT","ENSG00000284065","MIR6887","microRNA 6887 [Source:HGNC Symbol;Acc:HGNC:50065]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202489_S_AT","ENSG00000285526","None","novel protein","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202712_S_AT","ENSG00000223572","CKMT1A","creatine kinase, mitochondrial 1A [Source:HGNC Symbol;Acc:HGNC:31736]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202712_S_AT","ENSG00000237289","CKMT1B","creatine kinase, mitochondrial 1B [Source:HGNC Symbol;Acc:HGNC:1995]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209772_S_AT","ENSG00000185275","CD24P4","CD24 molecule pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:1649]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209772_S_AT","ENSG00000272398","CD24","CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"266_S_AT","ENSG00000272398","CD24","CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]","AFFY_HC_G110,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2,AFFY_HG_U95A,AFFY_HG_U95AV2"
"216379_X_AT","ENSG00000272398","CD24","CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209771_X_AT","ENSG00000272398","CD24","CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"208651_X_AT","ENSG00000272398","CD24","CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"208650_S_AT","ENSG00000185275","CD24P4","CD24 molecule pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:1649]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"208650_S_AT","ENSG00000261333","CD24P2","CD24 molecule pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:1647]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"208650_S_AT","ENSG00000272398","CD24","CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1557094_AT","ENSG00000265190","ANXA8","annexin A8 [Source:HGNC Symbol;Acc:HGNC:546]","AFFY_HG_U133_PLUS_2"
"1557094_AT","ENSG00000276850","None","novel transcript","AFFY_HG_U133_PLUS_2"
"203074_AT","ENSG00000264230","ANXA8L1","annexin A8 like 1 [Source:HGNC Symbol;Acc:HGNC:23334]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"203074_AT","ENSG00000265190","ANXA8","annexin A8 [Source:HGNC Symbol;Acc:HGNC:546]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202917_S_AT","ENSG00000143546","S100A8","S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"212236_X_AT","ENSG00000128422","KRT17","keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205157_S_AT","ENSG00000128422","KRT17","keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"208607_S_AT","ENSG00000134339","SAA2","serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"208607_S_AT","ENSG00000173432","SAA1","serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"208607_S_AT","ENSG00000255071","SAA2-SAA4","SAA2-SAA4 readthrough [Source:HGNC Symbol;Acc:HGNC:39550]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"214456_X_AT","ENSG00000134339","SAA2","serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"214456_X_AT","ENSG00000173432","SAA1","serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"203088_AT","ENSG00000140092","FBLN5","fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213428_S_AT","ENSG00000142156","COL6A1","collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"212937_S_AT","ENSG00000142156","COL6A1","collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"212091_S_AT","ENSG00000142156","COL6A1","collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"212938_AT","ENSG00000142156","COL6A1","collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"212940_AT","ENSG00000142156","COL6A1","collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"239942_AT","ENSG00000127920","GNG11","G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"204115_AT","ENSG00000127920","GNG11","G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202310_S_AT","ENSG00000108821","COL1A1","collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1556499_S_AT","ENSG00000108821","COL1A1","collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]","AFFY_HG_U133_PLUS_2"
"202312_S_AT","ENSG00000108821","COL1A1","collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202311_S_AT","ENSG00000108821","COL1A1","collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"221729_AT","ENSG00000204262","COL5A2","collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"221730_AT","ENSG00000204262","COL5A2","collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"210665_AT","ENSG00000003436","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213258_AT","ENSG00000003436","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209676_AT","ENSG00000003436","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"210664_S_AT","ENSG00000003436","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"242945_AT","ENSG00000108950","FAM20A","FAM20A golgi associated secretory pathway pseudokinase [Source:HGNC Symbol;Acc:HGNC:23015]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"226804_AT","ENSG00000108950","FAM20A","FAM20A golgi associated secretory pathway pseudokinase [Source:HGNC Symbol;Acc:HGNC:23015]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"241981_AT","ENSG00000108950","FAM20A","FAM20A golgi associated secretory pathway pseudokinase [Source:HGNC Symbol;Acc:HGNC:23015]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"202465_AT","ENSG00000106333","PCOLCE","procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202729_S_AT","ENSG00000049323","LTBP1","latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"202728_S_AT","ENSG00000049323","LTBP1","latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"205422_S_AT","ENSG00000198542","ITGBL1","integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1557080_S_AT","ENSG00000198542","ITGBL1","integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]","AFFY_HG_U133_PLUS_2"
"1557080_S_AT","ENSG00000276012","None","novel transcript, antisense to FGF14","AFFY_HG_U133_PLUS_2"
"214927_AT","ENSG00000198542","ITGBL1","integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"231993_AT","ENSG00000198542","ITGBL1","integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"207601_AT","ENSG00000173597","SULT1B1","sulfotransferase family 1B member 1 [Source:HGNC Symbol;Acc:HGNC:17845]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213493_AT","ENSG00000162804","SNED1","sushi, nidogen and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:24696]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213488_AT","ENSG00000162804","SNED1","sushi, nidogen and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:24696]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"1554798_AT","ENSG00000162804","SNED1","sushi, nidogen and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:24696]","AFFY_HG_U133_PLUS_2"
"1559421_AT","ENSG00000162804","SNED1","sushi, nidogen and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:24696]","AFFY_HG_U133_PLUS_2"
"206157_AT","ENSG00000163661","PTX3","pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"239786_AT","ENSG00000011465","DCN","decorin [Source:HGNC Symbol;Acc:HGNC:2705]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"234104_AT","ENSG00000011465","DCN","decorin [Source:HGNC Symbol;Acc:HGNC:2705]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"240556_AT","ENSG00000011465","DCN","decorin [Source:HGNC Symbol;Acc:HGNC:2705]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"242605_AT","ENSG00000011465","DCN","decorin [Source:HGNC Symbol;Acc:HGNC:2705]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"201893_X_AT","ENSG00000011465","DCN","decorin [Source:HGNC Symbol;Acc:HGNC:2705]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209335_AT","ENSG00000011465","DCN","decorin [Source:HGNC Symbol;Acc:HGNC:2705]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"211813_X_AT","ENSG00000011465","DCN","decorin [Source:HGNC Symbol;Acc:HGNC:2705]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"211896_S_AT","ENSG00000011465","DCN","decorin [Source:HGNC Symbol;Acc:HGNC:2705]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209156_S_AT","ENSG00000142173","COL6A2","collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"213290_AT","ENSG00000142173","COL6A2","collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209505_AT","ENSG00000175745","NR2F1","nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209506_S_AT","ENSG00000175745","NR2F1","nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"230135_AT","ENSG00000164161","HHIP","hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"223775_AT","ENSG00000164161","HHIP","hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"1556037_S_AT","ENSG00000164161","HHIP","hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]","AFFY_HG_U133_PLUS_2"
"237466_S_AT","ENSG00000164161","HHIP","hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"218468_S_AT","ENSG00000166923","GREM1","gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"218469_AT","ENSG00000166923","GREM1","gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]","AFFY_HG_FOCUS,AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209167_AT","ENSG00000046653","GPM6B","glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209170_S_AT","ENSG00000046653","GPM6B","glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209168_AT","ENSG00000046653","GPM6B","glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"209169_AT","ENSG00000046653","GPM6B","glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"230560_AT","ENSG00000168952","STXBP6","syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"220994_S_AT","ENSG00000168952","STXBP6","syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"226462_AT","ENSG00000168952","STXBP6","syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]","AFFY_HG_U133B,AFFY_HG_U133_PLUS_2"
"220995_AT","ENSG00000168952","STXBP6","syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
"204501_AT","ENSG00000136999","CCN3","cellular communication network factor 3 [Source:HGNC Symbol;Acc:HGNC:7885]","AFFY_HG_U133A,AFFY_HG_U133A_2,AFFY_HG_U133_PLUS_2"
